ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,id_escola_latitude,id_escola_longitude,anos_escolares,ideb,projecao
2005,MA,Maranhão,2100204,Alcântara,21000190,EM MARECHAL CASTELO BRANCO I,-2.54063,-44.6455616666667,iniciais (1-5),,
2013,MA,Maranhão,2100204,Alcântara,21000190,EM MARECHAL CASTELO BRANCO I,-2.54063,-44.6455616666667,iniciais (1-5),,
2025,MA,Maranhão,2100204,Alcântara,21000190,EM MARECHAL CASTELO BRANCO I,-2.54063,-44.6455616666667,iniciais (1-5),,
2009,MA,Maranhão,2100204,Alcântara,21000190,EM MARECHAL CASTELO BRANCO I,-2.54063,-44.6455616666667,iniciais (1-5),,
2017,MA,Maranhão,2100204,Alcântara,21000239,EM INACIO DE VIVEIROS RAPOSO,-2.40710666666667,-44.415725,iniciais (1-5),,4.2
2019,MA,Maranhão,2100204,Alcântara,21000239,EM INACIO DE VIVEIROS RAPOSO,-2.40710666666667,-44.415725,finais (6-9),,4.5
2019,MA,Maranhão,2100204,Alcântara,21000328,E M DOM PEDRO II,-2.49030666666667,-44.5562366666667,finais (6-9),,3.6
2013,MA,Maranhão,2100204,Alcântara,21000450,E M ANTONIO LOBO,-2.4067601,-44.4164334,finais (6-9),,
2011,MA,Maranhão,2100204,Alcântara,21000476,EM BARAO DE GRAJAU,-2.3801233,-44.4602817,finais (6-9),,
2015,MA,Maranhão,2100204,Alcântara,21000476,EM BARAO DE GRAJAU,-2.3801233,-44.4602817,finais (6-9),,
2013,MA,Maranhão,2100204,Alcântara,21000492,ESCOLA CAMINHO DAS ESTRELAS,,,iniciais (1-5),,6.2
2013,MA,Maranhão,2100204,Alcântara,21000492,ESCOLA CAMINHO DAS ESTRELAS,,,finais (6-9),,
2023,MA,Maranhão,2100204,Alcântara,21000530,E M DEPUTADO SABOIA,-2.33203,-44.48003,iniciais (1-5),,
2009,MA,Maranhão,2100204,Alcântara,21000565,E M DR FACURE,-2.22234,-44.4802916666667,iniciais (1-5),,
2025,MA,Maranhão,2100204,Alcântara,21000565,E M DR FACURE,-2.22234,-44.4802916666667,finais (6-9),,
2005,MA,Maranhão,2100204,Alcântara,21000603,EM DUQUE DE CAXIAS,-2.439,-44.6475466666667,finais (6-9),,
2013,MA,Maranhão,2100204,Alcântara,21000603,EM DUQUE DE CAXIAS,-2.439,-44.6475466666667,iniciais (1-5),,
2019,MA,Maranhão,2100204,Alcântara,21000603,EM DUQUE DE CAXIAS,-2.439,-44.6475466666667,finais (6-9),,4.1
2021,MA,Maranhão,2100204,Alcântara,21000603,EM DUQUE DE CAXIAS,-2.439,-44.6475466666667,finais (6-9),,4.4
2015,MA,Maranhão,2100204,Alcântara,21000654,E M GOV NEWTON DE BARROS BELLO,-2.49874,-44.6824933333333,iniciais (1-5),,4.3
2009,MA,Maranhão,2100204,Alcântara,21000816,E M SENADOR ARCHER,-2.342575,-44.496805,iniciais (1-5),,
2013,MA,Maranhão,2100204,Alcântara,21000816,E M SENADOR ARCHER,-2.342575,-44.496805,iniciais (1-5),,
2007,MA,Maranhão,2100204,Alcântara,21000905,E M VEREADOR JOAQUIM RIBEIRO,-2.30575,-44.5976383333333,iniciais (1-5),,
2019,MA,Maranhão,2100204,Alcântara,21000905,E M VEREADOR JOAQUIM RIBEIRO,-2.30575,-44.5976383333333,iniciais (1-5),,3.9
2021,MA,Maranhão,2100204,Alcântara,21001022,UI PRES JOHN KENNEDY,-2.40517333333333,-44.4153883333333,finais (6-9),,5.3
2005,MA,Maranhão,2100204,Alcântara,21001030,UE CIDADE DE ALCANTARA,-2.30579666666667,-44.5975816666667,finais (6-9),,
