ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_media_padronizada,ideb,projecao
2019,BA,Bahia,2914703,Itaberaba,29083524,EE - COLEGIO ESTADUAL LIBERDADE,medio,todos (1-4),43.3,0.42366999,3.134491,1.3,
2023,BA,Bahia,2900405,Água Fria,29089867,ESC MUL EVANILDO MASCARENHAS DE ALMEIDA,fundamental,iniciais (1-5),62.3,0.414032,3.486351,1.4,
2019,PI,Piauí,2205805,Luzilândia,22006184,U E JOAO FRANCISCO,fundamental,finais (6-9),48.7,0.43265,3.4863329,1.5,4.4
2019,BA,Bahia,2931905,Tucano,29123585,ESCOLA MUNICIPAL MACHADO DE ASSIS,fundamental,finais (6-9),44.2,0.42653799,3.5739999,1.5,
2019,PI,Piauí,2211001,Teresina,22128441,U E NOSSA SENHORA DO PERPETUO SOCORRO,medio,todos (1-4),53.8,0.44504401,3.60817,1.6,2.5
2019,RN,Rio Grande do Norte,2406809,Lajes Pintadas,24041181,EM SAO JOSE,fundamental,finais (6-9),57.7,0.45509401,3.5895,1.6,4.6
2019,PI,Piauí,2211001,Teresina,22138455,U E DE ENSINO MEDIO SANTA FE,medio,todos (1-4),42.7,0.42839301,3.9444139,1.7,
2019,MA,Maranhão,2103174,Centro Novo do Maranhão,21067422,CENTRO EDUCACIONAL FRANCISCO RODRIGUES,fundamental,finais (6-9),56.5,0.565,3.1841669,1.8,
2019,MA,Maranhão,2102150,Brejo de Areia,21071799,UE DOM PEDRO II,fundamental,finais (6-9),71,0.66078597,2.7933331,1.8,3
2023,RN,Rio Grande do Norte,2409902,Pendências,24011568,ESCOLA ESTADUAL LUIZ GONZAGA,medio,todos (1-4),42.1,0.445812,4.033683,1.8,
2023,BA,Bahia,2924009,Paulo Afonso,29034990,EE - COLEGIO ESTADUAL DEMOCRATICO QUITERIA MARIA DE JESUS - TEMPO INTEGRAL,medio,todos (1-4),83.6,0.443102,4.034206,1.8,
2021,MA,Maranhão,2106904,Monção,21040095,EM COSTA E SILVA,fundamental,finais (6-9),87,0.833396,2.227333,1.9,
2019,RN,Rio Grande do Norte,2413102,Senador Elói de Souza,24049611,EM EUCLIDES LINS-EMEL,fundamental,finais (6-9),55.4,0.51754898,3.759167,1.9,2.9
2019,PB,Paraíba,2501807,Bayeux,25090976,EEEF GETULIO VARGAS,fundamental,iniciais (1-5),53.5,0.52656198,3.6801109,1.9,4.3
2023,BA,Bahia,2905909,Campo Alegre de Lourdes,29018579,ESCOLA MUNICIPAL NICOLAU PEREIRA SOBRINHO,fundamental,finais (6-9),71.1,0.704376,2.673,1.9,
2019,BA,Bahia,2922904,Nova Soure,29130638,EE - ESCOLA ESTADUAL VESTINA FERREIRA DA SILVA,fundamental,finais (6-9),59.1,0.55375999,3.4793329,1.9,3
2023,MA,Maranhão,2109205,Presidente Juscelino,21025690,CME DEPUTADO ORLANDO AQUINO,fundamental,finais (6-9),71.2,0.697307,2.871167,2,
2019,MA,Maranhão,2110500,São Bento,21049050,EM VICE ALM CORTEZ,fundamental,finais (6-9),65.8,0.53934902,3.630667,2,3.5
2019,MA,Maranhão,2112605,Urbano Santos,21144303,EM JOAO BENTO,fundamental,finais (6-9),81.4,0.82164103,2.4616671,2,
2023,PB,Paraíba,2512903,Rio Tinto,25087878,EEIEFM GUILHERME DA SILVEIRA,fundamental,finais (6-9),61.5,0.605176,3.349667,2,
2021,SE,Sergipe,2801405,Carira,28003560,ESCOLA MUL PROFA ILDA ALMEIDA DUTRA,fundamental,finais (6-9),54,0.475675,4.208,2,4.6
2023,BA,Bahia,2932903,Valença,29290945,ESCOLA MUNICIPAL TANCREDO DE ALMEIDA NEVES,fundamental,iniciais (1-5),46.9,0.444588,4.577303,2,
2019,BA,Bahia,2902708,Barra,29383595,COLEGIO MUNICIPAL FELISBERTO CAMANDAROBA,fundamental,finais (6-9),57,0.547333,3.5783329,2,2.9
2023,BA,Bahia,2918001,Jequié,29390443,GINASIO MUNICIPAL PROFESSORA ADINALVA MIRANDA ALMEIDA,fundamental,finais (6-9),54.8,0.497951,3.940167,2,
2021,MA,Maranhão,2105005,Humberto de Campos,21031460,EM LUIS BARBOSA FRAZAO,fundamental,finais (6-9),67.4,0.673356,3.189,2.1,3
2019,PI,Piauí,2204402,Gilbués,22063234,ESC MUNICIPAL DE COSME E DAMIAO,fundamental,iniciais (1-5),63.2,0.636235,3.286365,2.1,3.3
2023,PB,Paraíba,2507507,João Pessoa,25094025,ECI EEFM TENENTE LUCENA,medio,todos (1-4),57.3,0.579974,3.558113,2.1,
2023,BA,Bahia,2923704,Paratinga,29046211,POLO EDUCACIONAL NOSSA SENHORA APARECIDA,fundamental,finais (6-9),67,0.670533,3.146833,2.1,
2021,BA,Bahia,2917003,Itiúba,29053099,ESCOLA MUNICIPAL EVARISTO RIBEIRO DOS SANTOS,fundamental,finais (6-9),67.2,0.663632,3.132833,2.1,3.4
2019,BA,Bahia,2908200,Conceição da Feira,29091411,ESCOLA HERLIO MASCARENHAS CARDOSO,fundamental,finais (6-9),53.9,0.46748099,4.4003329,2.1,4
2023,BA,Bahia,2910602,Esplanada,29406005,ESCOLA MUNICIPAL ASSENTAMENTO MALOMBE,fundamental,finais (6-9),63.8,0.568413,3.6675,2.1,
2019,MA,Maranhão,2100709,Anajatuba,21035229,EM PROF SOLANO OLIVEIRA RODRIGUES,fundamental,iniciais (1-5),76.5,0.51901001,4.2266288,2.2,3.9
2019,MA,Maranhão,2106508,Matinha,21039470,EM RAIMUNDO PEDRO MACHADO SERRA,fundamental,finais (6-9),75.4,0.71121901,3.061167,2.2,3
2021,MA,Maranhão,2113009,Vitorino Freire,21085064,CENTRO DE ENSINO APARICIO BANDEIRA,medio,todos (1-4),66,0.626345,3.498352,2.2,3.4
2019,MA,Maranhão,2107308,Nova Iorque,21168997,GE MANOEL CARVALHO DE ALMEIDA,fundamental,finais (6-9),70.9,0.706824,3.1698329,2.2,4.3
2019,MA,Maranhão,2104800,Grajaú,21228957,UNIDADE INTEGRADA DE EDUCACAO ESCOLAR INDIGENA APERTADO,fundamental,finais (6-9),100,1,2.2460001,2.2,
2019,MA,Maranhão,2104602,Governador Eugênio Barros,21259887,CENTRO DE ENSINO DIAS CARNEIRO - ANEXO II - SANTA ROSA,medio,todos (1-4),88.8,0.86004502,2.564501,2.2,3
2019,PI,Piauí,2203107,Cristino Castro,22063080,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL WALDEMIRO CAVALCANTE DE OLIVEIRA LIMA,fundamental,finais (6-9),70.2,0.65275598,3.3991671,2.2,4.7
2023,BA,Bahia,2924405,Pilão Arcado,29029180,ESCOLA MUNICIPAL DOIS IRMAOS,fundamental,finais (6-9),63.3,0.597227,3.636833,2.2,
2019,BA,Bahia,2930204,Sento Sé,29031842,ESCOLA NUCLEO SAO FRANCISCO,fundamental,finais (6-9),63.6,0.65502697,3.3261671,2.2,3.7
2019,BA,Bahia,2902708,Barra,29037328,ESCOLA MUNICIPAL DE TAPERA,fundamental,finais (6-9),77.1,0.77765501,2.8621669,2.2,2.6
2023,BA,Bahia,2902005,Aracatu,29255635,ESCOLA MUNICIPAL FRANCISCO ALVES PEREIRA,fundamental,finais (6-9),71.9,0.691962,3.190167,2.2,
2019,BA,Bahia,2906006,Campo Formoso,29419476,COLEGIO MUNICIPAL MANOEL RICARDO DE ALMEIDA,fundamental,finais (6-9),56.5,0.57876998,3.7435,2.2,3.8
2023,BA,Bahia,2905701,Camaçari,29470471,EE - COLEGIO ESTADUAL ANGIOLINA TEIXEIRA DE SOUZA,medio,todos (1-4),72,0.72,3.110468,2.2,
2023,MA,Maranhão,2105104,Icatu,21023840,EM DIOGO CASSIANO COSTA,fundamental,finais (6-9),80.3,0.778485,3.005167,2.3,
2019,MA,Maranhão,2109908,Santa Inês,21078360,EM SAO FRANCISCO,fundamental,finais (6-9),85.1,0.74528199,3.1191671,2.3,3.7
2021,MA,Maranhão,2111003,São João Batista,21355002,CENTRO DE ENSINO DEPUTADO JOSE RIBAMAR DOMINICI,medio,todos (1-4),74.6,0.74152,3.164042,2.3,3
2021,MA,Maranhão,2112803,Viana,21382204,CENTRO DE ENSINO RAIMUNDO MARCELINO CAMPELLO - ANEXO I - ESTRADA DE RAFAEL,medio,todos (1-4),79.7,0.800379,2.862938,2.3,3.1
2019,PI,Piauí,2209500,Santo Inácio do Piauí,22155406,ESCOLA FAMILIA AGRICOLA DOM EDILBERTO V,medio,todos (1-4),56.9,0.600564,3.767782,2.3,
2019,RN,Rio Grande do Norte,2401453,Baraúna,24000612,ESCOLA MUNICIPAL DE 1º GRAU PEDRO FERNANDES,fundamental,finais (6-9),51,0.49697801,4.6168332,2.3,
2019,RN,Rio Grande do Norte,2406403,Lagoa de Velhos,24040932,EM SAO SEBASTIAO,fundamental,finais (6-9),59.5,0.552908,4.092833,2.3,3.8
2019,SE,Sergipe,2805604,Porto da Folha,28003365,ESCOLA MUNICIPAL MANOEL JOVITO DE SANTANA,fundamental,finais (6-9),50.2,0.53178102,4.3569999,2.3,4.1
2019,BA,Bahia,2924405,Pilão Arcado,29027217,ESCOLA MUL DE LAGOA GRANDE,fundamental,finais (6-9),64.7,0.648395,3.5166669,2.3,3.2
2023,BA,Bahia,2902708,Barra,29037328,ESCOLA MUNICIPAL DE TAPERA,fundamental,finais (6-9),78.6,0.784809,2.966,2.3,
2023,BA,Bahia,2902708,Barra,29037409,ESCOLA MUNICIPAL SANTA MONICA,fundamental,finais (6-9),83.1,0.835835,2.740667,2.3,
2023,BA,Bahia,2923357,Ourolândia,29076056,ESCOLA MUNICIPAL FRANCISCO JOSE DA SILVA,fundamental,finais (6-9),76.8,0.717261,3.2015,2.3,
2019,BA,Bahia,2906808,Cansanção,29115647,EM AMANCIO DE ARAUJO,fundamental,finais (6-9),72.6,0.70096201,3.3264999,2.3,3.4
2019,BA,Bahia,2910701,Euclides da Cunha,29117224,CENTRO EDUCACIONAL DE RUILANDIA,fundamental,finais (6-9),53.2,0.52916098,4.4353328,2.3,4
2023,BA,Bahia,2926301,Riachão do Jacuípe,29457882,ESCOLA MUNICIPAL PROFESSORA ANA NETA RIBEIRO,fundamental,finais (6-9),77.4,0.763072,2.969,2.3,
2021,BA,Bahia,2922706,Nova Canaã,29467993,NUCLEO ESCOLAR MUNICIPAL JOVAN VIEIRA MATOS,fundamental,finais (6-9),68.6,0.68554,3.2905,2.3,
2023,MA,Maranhão,2109205,Presidente Juscelino,21025703,CME JOSE ALVES DE SOUSA FILHO,fundamental,finais (6-9),82.6,0.821513,2.886833,2.4,
