ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_media_padronizada,ideb,projecao
2013,BA,Bahia,2927408,Salvador,29404444,ESCOLA MUNICIPAL 22 DE ABRIL,fundamental,iniciais (1-5),78.5,0.104268,4.0291228,0.4,3.9
2005,RN,Rio Grande do Norte,2406502,Lagoa Nova,24078603,EM ADALGISA AMORIM BEZERRA,fundamental,iniciais (1-5),42.5,0.214347,2.981602,0.6,
2009,PB,Paraíba,2507507,João Pessoa,25097091,EEEFM AUDIOCOMUNICACAO,fundamental,iniciais (1-5),14.2,0.137575,4.4756241,0.6,3.4
2007,BA,Bahia,2903904,Bom Jesus da Lapa,29043077,ESCOLA MUNICIPALIZADA VITALINA MARIA DE JESUS,fundamental,iniciais (1-5),16.5,0.143976,4.0547452,0.6,
2005,PI,Piauí,2202208,Campo Maior,22032339,CETI RAIMUNDINHO ANDRADE,fundamental,finais (6-9),41.4,0.15642101,4.5682139,0.7,
2021,BA,Bahia,2903607,Biritinga,29136091,ESCOLA MUNICIPAL ARISTEU BARBOSA,fundamental,iniciais (1-5),48.6,0.222314,3.003321,0.7,3.3
2005,BA,Bahia,2927408,Salvador,29181143,EE - COLEGIO ESTADUAL LUIS VIANA,fundamental,finais (6-9),17.6,0.176,4.0226092,0.7,
2009,BA,Bahia,2933307,Vitória da Conquista,29278457,ESCOLA MUNICIPAL DOM CLIMERIO DE ALMEIDA ANDRADE,fundamental,iniciais (1-5),37.5,0.18146101,3.6222191,0.7,
2005,BA,Bahia,2912103,Ibicaraí,29357519,ESC RESSURGIR,fundamental,iniciais (1-5),22.3,0.186676,3.7420881,0.7,
2007,RN,Rio Grande do Norte,2408300,Nova Cruz,24046841,ESCOLA ESTADUAL SANTA LUZIA - ENSINO FUNDAMENTAL,fundamental,finais (6-9),30.7,0.26373401,3.1938331,0.8,
2005,RN,Rio Grande do Norte,2406155,Jundiá,24050253,ESCOLA ESTADUAL JOAO BERNARDO,fundamental,finais (6-9),34.7,0.230995,3.426867,0.8,
2005,RN,Rio Grande do Norte,2408102,Natal,24075710,ESC MUL PROF OTTO DE BRITO GUERRA,fundamental,iniciais (1-5),27.9,0.27900001,2.730047,0.8,
2007,PB,Paraíba,2501807,Bayeux,25091034,,fundamental,finais (6-9),33.8,0.23959699,3.2366669,0.8,1.7
2005,BA,Bahia,2910602,Esplanada,29156963,COLEGIO MUNICIPAL DR ANTONIO CARLOS MAGALHAES,fundamental,finais (6-9),31.2,0.216269,3.923615,0.8,
